episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,learning_rate_clob,grad_norm_clob,td_abs_mean_clob,td_abs_max_clob,n_grad_steps_clob,loss_auction,learning_rate_auction,grad_norm_auction,td_abs_mean_auction,td_abs_max_auction,n_grad_steps_auction
0,35.78580706017783,35.78039872975368,35.7803987297541,-4.118616421447712,0.0,-39.8990151512018,0.0,0.0,0.7354135179715655,0.7354135179715744,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1,41.82753340458112,41.813655327031476,40.970610399719206,-1.6631822568132415,0.0,-42.63379265653246,-0.8430449273112686,0.0,0.9536544614318814,1.1780525264029182,-0.2243980649710404,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
2,48.277402254214394,-69.8361592060327,-70.21901612171163,-21.67161489631436,0.0,48.547401225397266,-0.3828569156801507,0.0,0.06993675920044495,-108.68006324080194,108.75000000000239,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
3,1.7730752798174216,1.7698879625686972,1.52370282205543,21.662254244516543,3.469446951953614e-18,20.13855142246111,-0.24618514050968088,0.0,0.46039867012227376,-0.5645633045748168,1.0249619746971022,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,
4,13.0,-87.0,-87.0,-109.53675781199769,0.0,-22.536757811997706,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
5,27.98475000000144,-113.56575625000417,-113.56575625000369,-108.68081001470166,0.0,4.884946235302025,0.0,0.0,100.0,118.97500000000235,-18.975000000002353,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
6,9.360000000000582,-99.84249999999889,-99.84249999999884,-103.5692888200828,0.0,-3.726788820083959,0.0,0.0,100.0,104.49999999999974,-4.499999999999744,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
7,49.5981345245886,-50.84414709067964,-50.844147090680565,-81.93980007121078,0.0,-31.095652980530232,0.0,0.0,100.0,100.2208968305853,-0.2208968305852977,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
8,35.460053975311894,3.0078530809278945,3.0078530809300403,-19.761039489515866,0.0,-22.76889257044591,0.0,0.0,56.96683324038999,56.966833240389974,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,2.0,0.0,1.0,10.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
9,-35.35332978377846,-50.555982248874805,-53.383913059571675,-13.935259479330902,0.0,39.448653580240766,-2.8279308106965857,0.0,34.779613891153346,-38.990578945555995,73.77019283670933,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
10,-7.799938800355449,-14.334585467557245,-16.42218031740005,10.40168907030625,0.0,26.823869387706303,-2.0875948498422403,0.0,37.48669150221929,-25.562954968473022,63.0496464706923,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
11,-3.9310611021833757,-33.53301980013501,-33.533019800132784,-36.762920412359975,0.0,-3.2299006122271807,0.0,0.0,55.93882653739576,54.407682084381825,1.5311444530139255,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
12,10.989984325273326,10.988554373909546,10.988554373907867,-8.64467153543647,0.0,-19.633225909344336,0.0,0.0,0.3781469772165451,0.378146977216522,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
13,-51.64589076933407,-51.64635999797791,-52.13805240995161,-14.80391128978566,0.0,37.334141120165974,-0.49169241196955227,0.0,65.31661686080169,0.21661686080122422,65.10000000000048,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
14,46.82878650931161,41.42349166534136,41.423491665339846,5.265552019507228,0.0,-36.157939645832606,0.0,0.0,12.638762767851205,23.249289976191214,-10.610527208340017,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
15,2.509794745895706,2.509186149823818,0.43418334663003766,7.429835230257148,0.0,6.995651883627105,-2.075002803190614,0.0,0.5466974000446214,0.2466974000446629,0.29999999999998295,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
16,-12.453548474990384,-12.457137194863657,-13.09708589110457,18.89215612277442,0.0,31.989242013878982,-0.6399486962403529,0.0,0.5990592519335678,0.5990592519335811,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
17,20.84056837306707,20.817068040052217,20.677614285752924,5.619564717742052,0.0,-15.058049568010873,-0.13945375429764795,0.0,0.7170181666158442,-1.5329818333840226,2.249999999999872,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,4.0,3.0,0.0,1.0,10.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
18,27.779637682011526,24.584116179380423,24.5841161793806,-16.074960877496864,0.0,-40.659077056877464,0.0,0.0,0.8739783435142527,-17.876021656484703,18.749999999998934,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,
19,24.750941252699196,24.748424403331544,24.748424403330013,-5.483691828592547,0.0,-30.23211623192256,0.0,0.0,0.30542952551319047,0.5016821072802595,-0.19625258176706373,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
20,26.0,-74.0,-74.0,-92.01672131032234,0.0,-18.016721310322346,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
21,16.221882528723654,-88.26499990230641,-88.26499990230695,-96.40686353115755,0.0,-8.141863628850603,0.0,0.0,100.0,102.21882528723859,-2.2188252872385923,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
22,-11.310791530579081,-55.54081139074472,-55.54081139074515,-62.481359447786005,0.0,-6.940548057040834,0.0,0.0,100.0,66.50565378985883,33.49434621014118,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
23,26.67939999999857,-74.75571225000138,-74.75571225000073,-82.63568549279252,0.0,-7.879973242791775,0.0,0.0,100.0,100.71499999999997,-0.714999999999975,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
24,-5.141894604314075,-5.143977768779971,-5.14397776878085,9.948770674606891,0.0,15.09274844338775,0.0,0.0,0.45641696571181,0.45641696571181267,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
25,35.94221148798715,-29.92037894490936,-29.920378944909316,-64.97739887486068,0.0,-35.05701992995132,0.0,0.0,100.0,81.15577024025865,18.84422975974135,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,1.0,0.0,1.0,10.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
26,22.11263814091035,22.068180939845846,21.906053744453473,5.052058358834718,2.220446049250313e-16,-16.853995385618756,-0.16212719539034026,0.0,0.18504842912409458,-2.108487634881991,2.2935360640060645,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
27,-37.6817597958148,-37.68392130454926,-38.17922040890639,-15.63574871918104,0.0,22.543471689725326,-0.49529910435915525,0.0,0.5474202871953082,0.464920287195298,0.08250000000000313,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
